Tags,Meaning
sshfs,"SSHFS (Secure Shell File System) is a file system client to mount and interact with directories and files located on a remote server or workstation. The client interacts with the remote file system via the SSH File Transfer Protocol (SFTP), a network protocol providing file access, file transfer, and file management functionality over any reliable data stream that was designed as an extension of the Secure Shell protocol (SSH) version 2.0."
virtual-table,
assembly-loading,"Questions regarding loading assemblies in.NET core, including questions on assemblies explicitly loaded via the API, as well as questions on runtime exceptions related to assembly load failure: &quot;Could not load file or assembly...&quot;"
aws-alb,
google-cardboard,Google Cardboard is a virtual reality (VR) platform developed by Google for use with a fold-out cardboard mount for a mobile phone.
updates,"[Instead of using this tag, please use the appropriate tag for the software and/or library in question]

Updates can refer to the modification of data or configuration by an application, process, or service, or can refer to the modification of software by a process. This tag seems fairly useless, as most software engages in updating something most of the time."
laravel-5.8,"Laravel 5.8 is the previous stable version of the open-source PHP web framework created by Taylor Otwell. It was released on February 26, 2019. Use it in addition to the [laravel-5] tag if your question is specific to Laravel 5.8. Use the [laravel] tag for general Laravel related questions."
feature-engineering,Feature engineering is the process of using domain knowledge of the data to create features that make machine learning algorithms work
karma-coverage,A plugin for Karma (code test runner) that generate code coverage.
friend-class,"In object-oriented programming to allow access to &quot;private&quot; or &quot;protected&quot; data of a class in another class, the latter class is declared as a friend class."
kleisli,"Kleisli is an operator to compose monadic functions. if you have one monadic function that takes in As and outputs Bs and another monadic function that takes in Bs and outputs Cs, and you want to chain them together, you use Kleisli composition."
xslt-grouping,"Grouping mechanisms that are specific to XSLT. Should always be complemented with either the xslt-1.0, xslt-2.0 or xslt-3.0 tag to indicate the version used."
textinput,"For questions related to a single-line, text input. EG: `&lt;input type=&quot;text&quot; ...&gt;`, or a UITextField, or TextInput (Flash), or `&lt;textinput&gt;` (RSS). ...  Use textarea for multiline or WYSIWYG text controls.
"
content-script,"fContent scripts are JavaScript files, used by browser extensions or add-ons. They are the part of an extension that can interact with the document context of the current web page.  This mainly applies to Firefox or Chrome extensions."
git-push,Pushes the changes from a local Git repo to remote
autofac,Autofac is an inversion of control (IoC) container for Microsoft .NET. It manages the dependencies between classes so that applications stay easy to change as they grow in size and complexity. This is achieved by treating regular .NET classes as components.
